Partida 1 - 0pontos.
Partida 1 - 20 pontos.
Partida 1 - 40 pontos.
Partida 1 - 20 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 570 pontos.
Partida 1 - 2340 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 2080 pontos.
Partida 1 - 70 pontos.
Partida 1 - 10 pontos.
Partida 1 - 10 pontos.
Partida 1 - 50 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 1840 pontos.
Partida 1 - 20 pontos.
Partida 1 - 520 pontos.
Partida 1 - 210 pontos.
Partida 1 - 0 pontos.
Partida 1 - 120 pontos.
Partida 1 - 200 pontos.
Partida 1 - 200 pontos.
Partida 1 - 0 pontos.
Partida 1 - 0 pontos.
Partida 1 - 20 pontos.
Partida 1 - 1320 pontos.
Partida 1 - 2270 pontos.
